[2025-03-11 16:42:54,219: INFO :main : look up in the sky! its a bird? its a plane? no its immortalpi ]
[2025-03-19 01:40:30,057: INFO :common : yaml file: config\config.yaml loaded successfully]
[2025-03-19 01:40:30,058: INFO :common : yaml file: params.yaml loaded successfully]
[2025-03-19 01:44:56,382: INFO :common : yaml file: config\config.yaml loaded successfully]
[2025-03-19 01:44:56,383: INFO :common : yaml file: params.yaml loaded successfully]
[2025-03-19 01:45:22,382: INFO :common : yaml file: config\config.yaml loaded successfully]
[2025-03-19 01:45:22,390: INFO :common : yaml file: params.yaml loaded successfully]
[2025-03-19 01:45:22,395: INFO :common : yaml file: schema.yaml loaded successfully]
[2025-03-19 01:45:22,396: INFO :common : created directory at: artifacts]
[2025-03-19 01:45:22,398: INFO :common : created directory at: artifacts/data_ingestion]
[2025-03-19 01:45:22,399: INFO :1268959644 : Downloading data from https://drive.google.com/file/d/1UqfvtCcJkRIPszFjh7PznkbPMOnjYK5z/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-19 01:45:33,144: INFO :1268959644 : Downloaded data from https://drive.google.com/file/d/1UqfvtCcJkRIPszFjh7PznkbPMOnjYK5z/view?usp=sharing into file artifacts/data_ingestion/data.zip]
